Item,Qty,Price (USD),Ext. (USD),Link
C529355,1,3.0856,3.09,https://www.lcsc.com/product-detail/C529355.html
C105872,100,0.0009,0.09,https://www.lcsc.com/product-detail/C105872.html
C60490,100,0.0008,0.08,https://www.lcsc.com/product-detail/C60490
C5446,5,0.1062,0.53,https://www.lcsc.com/product-detail/C5446.html
C2765186,20,0.0617,1.23,https://www.lcsc.com/product-detail/C2765186.html
C5180302,5,0.0403,0.2,https://www.lcsc.com/product-detail/C5180302.html
C60474,100,0.0010,0.1,https://www.lcsc.com/product-detail/C60474.html
C96446,20,0.0181,0.36,https://www.lcsc.com/product-detail/C96446.html
C37704,20,0.0313,0.63,https://www.lcsc.com/product-detail/C37704.html
C720477,10,0.056,0.56,https://www.lcsc.com/product-detail/C720477.html
